key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,PlaceName,AethernetName,Territory,Level[0],Level[1],Level[2],Level[3],IsAetheryte,,,AethernetGroup,Invisible,RequiredQuest,Map,Aetherstream{X},Aetherstream{Y}
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,PlaceName,PlaceName,TerritoryType,Level,Level,Level,Level,uint32,bool,byte,int16,int16,Quest,Map,byte,byte
0,"aetheryte",0,"aetheryte crystals",0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0
1,"Aethernet shard",0,"Aethernet shards",0,1,1,0,0,1,0,65538,1,1360027,3785149,3785150,3785151,True,0,0,0,0,0,0,0
2,"",0,"",0,0,1,0,0,52,590,852004,132,1359064,3661246,3661247,3661248,True,2,0,0,1560,720,11,1
3,"",0,"",0,0,1,0,0,94,0,0,148,1359242,3679309,3679310,3679311,True,0,0,0,1540,820,12,1
4,"",0,"",0,0,1,0,0,107,0,0,152,1359244,3684583,3684585,3684587,True,0,0,0,1700,820,13,1
5,"",0,"",0,0,1,0,0,129,0,0,153,1359648,3684688,3684695,3684710,True,0,0,0,1580,920,14,1
6,"",0,"",0,0,1,0,0,123,0,0,153,1359650,3684714,3684715,3684716,True,0,0,0,1520,980,15,1
7,"",0,"",0,0,1,0,0,140,0,0,154,1359652,3684633,3684671,3684682,True,0,0,0,1400,720,16,1
8,"",0,"",0,0,1,0,0,29,738,852079,129,3693843,3693844,3693848,3693849,True,1,0,0,640,1200,1,0
9,"",0,"",0,0,1,0,0,40,378,852078,130,3693863,3693864,3693865,3693866,True,3,0,0,1260,1380,21,2
10,"",0,"",0,0,1,0,0,337,0,0,135,3860373,3860385,3860391,3860399,True,0,0,0,780,1220,3,0
11,"",0,"",0,0,1,0,0,206,0,0,137,3961173,3961180,3961183,3961184,True,0,0,0,820,1120,4,0
12,"",0,"",0,0,1,0,0,216,0,0,137,3961228,3961229,3961230,3961231,True,0,0,0,780,1040,5,0
13,"",0,"",0,0,1,0,0,218,0,0,138,3965407,3965408,3965409,3965410,True,0,0,0,600,1100,6,0
14,"",0,"",0,0,1,0,0,223,0,0,138,3965420,3965421,3965422,3965423,True,0,0,0,540,1100,7,0
15,"",0,"",0,0,1,0,0,239,0,0,139,4142002,4142044,4142045,4142046,True,0,0,0,760,1000,8,0
16,"",0,"",0,0,1,0,0,237,0,0,180,4142062,4142063,4142064,4142065,True,0,0,0,680,960,9,0
17,"",0,"",0,0,1,0,0,271,0,0,140,3965476,3965481,3965483,3965484,True,0,0,0,1120,1260,22,2
18,"",0,"",0,0,1,0,0,300,0,0,145,3965498,3965499,3965501,3965503,True,0,0,0,1360,1210,24,2
19,"",0,"",0,0,1,0,0,313,0,0,146,3965549,3965550,3965551,3965553,True,0,0,0,1360,1340,25,2
20,"",0,"",0,0,1,0,0,323,0,0,146,3965584,3965587,3965589,3965590,True,0,0,0,1360,1440,26,2
21,"",0,"",0,0,1,0,0,325,0,0,147,3965676,3965684,3965688,3965690,True,0,0,0,1280,1160,27,2
22,"",0,"",0,0,1,0,0,331,0,0,147,3965709,3965711,3965712,3965713,True,0,0,0,1260,1100,28,2
23,"",0,"",0,0,1,0,0,388,0,0,155,3965792,3965794,3965796,3965797,True,0,0,0,1180,580,31,3
24,"",0,"",0,0,1,0,0,411,0,0,156,3965896,3965898,3965899,3965900,True,0,0,0,1240,860,41,4
25,"",0,"",0,0,1,0,0,0,782,0,132,2563653,0,0,0,False,2,0,0,0,0,0,0
26,"",0,"",0,0,1,0,0,0,783,0,133,2563690,0,0,0,False,2,0,0,0,0,0,0
